TS006,FIELD pH,FIELD CONDUCTIVITY,TEMPERATURE,FIELD DISSOLVED OXYGEN,FLOW,LAB CONDUCTIVITY,SULFATE,DISSOLVED SOLIDS,SUSPENDED SOLIDS,LAB pH,ALKALINITY,HOT ACIDITY,MINERAL ACIDITY,IRON_D,MANGANESE_D,ALUMINUM_D,IRON_T,MANGANESE_T,ALUMINUM_T
2002-10-16,8.1,249,13.3,11.1,22.59,313,44,172,95,7.48,64,0,0,3.6,0.18,2.7,5.23,0.24,3.4
2002-11-04,8.2,292,9.8,10.23,5.22,316,46,172,0,8.0,72,0,0,0.09,0.03,0.5,0.22,0.04,0.5
2002-12-09,7.8,153.8,4.3,5.57,16.18,138,24,76,3,6.91,24,0,0,0.08,0.05,0.039,0.18,0.05,0.155
2003-01-08,7.8,112.3,6,,38.003,130,29,72,0,6.5,24,0,0,0,0,0.022,0.13,0,0.427
2003-02-12,7.3,149.5,3.2,,21.02,164,33,104,5,7.46,42,0,0,0.17,0.04,0,0.2,0.05,0
2003-03-10,7.3,151.3,6.1,12.52,15.85,176,32,96,4,7.09,26,0,0,0.06,0,0,0.18,0.03,0.047
2003-04-08,7,84.2,10.9,,110,92,18,48,36,7.35,14,0,0,0.16,0,0.103,0.18,0.03,0.117
2003-05-01,8,157.8,17.1,,13.3,192,37,116,10,7.75,44,0,0,0,0,0.033,0.22,0,0
2003-06-12,7.8,146.3,17.6,,20.2,153,28,88,21,7.42,74,0,0,0.1,0,0.053,0.41,0,0.163
2003-07-01,8,256.7,21.2,,5,289,53,180,0,7.91,80,0,0,0,0,0.033,0.15,0,0.077
2003-08-08,7.5,150,19,,26,153,29,92,60,7.5,64,0,0,0.25,0,0.109,1.14,0.06,1
2003-09-03,8,270.5,21.5,,7.14,286,40,138,3,7.57,92,0,0,0,0,0.023,0.28,0,0.118
2003-10-15,8,223.3,13.6,,11,267,36,184,10,7.41,82,0,0,0.17,0,0.087,0.57,0,0.294
2003-11-17,8.1,237.6,10.7,10.2,6,248,35,124,0,8.24,150,0,0,0.06,0,0,0.14,0,0.042
2003-12-16,7.8,133.5,6.7,,26.4,145,21,108,2,7.25,32,0,0,0.08,0,0,0.17,0,0.078
2004-01-22,7.1,118.0,2.0,,34,145,18,88,4,7.04,40,0,0,0,0,0,0.12,0,0.059
2004-02-11,7.0,130.0,4.3,13.39,42.4,148,16,76,6,6.72,30,0,0,0.06,0,0,0.22,0.03,0.097
2004-03-12,8,132,7.4,,25.2,138,20,72,2,6.84,38,0,0,0,0,0.038,0.14,0,0.091
2004-04-09,7.5,1535,9.6,,,158,26,80,1,6.94,58,0,0,0.11,0,0.03,0.19,0,0.13
2004-05-14,8.2,159.3,16.2,,14,178,20,92,25,6.94,62,0,0,0,0,0,0.25,0,0.184
2004-06-21,8.2,137.4,17.5,,43,146,20,76,12,7.08,52,0,0,0.07,0,0,0.4,0.04,0.181
